role,rank,panel,piece,window_start,window_end,window_margin_mean,window_margin_median,casm_direct_exact,window_f1__casm_full,window_count__casm_full,track_f1__casm_full,window_f1__direct,window_count__direct,track_f1__direct,window_f1__dbn_default,window_count__dbn_default,track_f1__dbn_default,window_f1__dbn_matched_30_300,window_count__dbn_matched_30_300,track_f1__dbn_matched_30_300,window_f1__plpdp,window_count__plpdp,track_f1__plpdp
clear,18,bt_smc_oof,smc/smc_130/track.npy,20.75,32.75,0.09053458273410797,0.07881993800401688,False,0.5833333333333334,17,0.4923076923076923,0.48,18,0.4225352112676057,0.38095238095238093,14,0.3692307692307692,0.2857142857142857,7,0.2666666666666666,0.46153846153846156,19,0.4657534246575343
clear,19,bt_smc_oof,smc/smc_056/track.npy,15.25,27.25,0.05928688868880272,0.06516773998737335,False,0.6666666666666666,27,0.36129032258064514,0.5882352941176471,30,0.3205128205128205,0.3137254901960784,30,0.2702702702702703,0.4666666666666667,9,0.2298850574712643,0.5357142857142857,35,0.303030303030303
clear,20,bt_smc_oof,smc/smc_005/track.npy,12.0,24.0,0.1798994094133377,0.18824276328086853,False,0.8,7,0.40816326530612246,0.75,8,0.392156862745098,0.5217391304347826,15,0.3188405797101449,0.5217391304347826,15,0.3188405797101449,0.5217391304347826,15,0.2898550724637681
ambiguous,1,bt_smc_oof,smc/smc_140/track.npy,15.0,27.0,0.09663873165845871,0.1001928448677063,True,0.5945945945945946,18,0.6324786324786326,0.5945945945945946,18,0.6491228070175439,0.24242424242424243,14,0.3366336633663366,0.24242424242424243,14,0.3564356435643565,0.4864864864864865,18,0.5833333333333334
ambiguous,2,bt_smc_oof,smc/smc_005/track.npy,15.75,27.75,0.13620387017726898,0.15001870691776276,True,0.5882352941176471,9,0.40816326530612246,0.5882352941176471,9,0.392156862745098,0.43478260869565216,15,0.3188405797101449,0.43478260869565216,15,0.3188405797101449,0.43478260869565216,15,0.2898550724637681
ambiguous,3,bt_smc_oof,smc/smc_219/track.npy,8.25,20.25,0.12352931499481201,0.11894895136356354,True,1.0,17,0.8484848484848485,1.0,17,0.8076923076923076,0.8571428571428571,18,0.4375,0.4166666666666667,7,0.4166666666666667,0.9714285714285714,18,0.7692307692307693
ambiguous,4,bt_smc_oof,smc/smc_022/track.npy,5.0,17.0,0.13042284548282623,0.10071665048599243,True,0.96,13,0.9610389610389611,0.96,13,0.9487179487179488,0.5925925925925926,15,0.7341772151898733,0.5833333333333334,12,0.7631578947368421,0.9230769230769231,14,0.925
ambiguous,5,bt_smc_oof,smc/smc_043/track.npy,5.0,17.0,0.0893138125538826,0.08455736190080643,True,0.8108108108108109,19,0.8113207547169812,0.8108108108108109,19,0.8113207547169812,0.5555555555555556,18,0.6538461538461539,0.35714285714285715,10,0.3466666666666667,0.7894736842105263,20,0.7663551401869159
ambiguous,6,bt_smc_oof,smc/smc_030/track.npy,13.5,25.5,0.12321063876152039,0.11981698870658875,True,1.0,41,0.9527896995708154,1.0,41,0.9406779661016949,0.6557377049180327,20,0.6206896551724138,0.6557377049180327,20,0.6206896551724138,1.0,41,0.9572649572649572
ambiguous,7,bt_smc_oof,smc/smc_227/track.npy,16.75,28.75,0.118230901658535,0.11612161993980408,True,0.9565217391304348,11,0.547945205479452,0.9565217391304348,11,0.5633802816901409,0.8,13,0.4935064935064934,0.75,12,0.5217391304347826,0.9166666666666666,12,0.5405405405405405
